order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
3940,US-2016-143448,12/10/2016,12/10/2016,Same Day,MH-17455,FUR-CH-10003379,1424.9,6,0,356.225
5397,US-2016-147340,9/24/2016,9/24/2016,Same Day,EB-13750,FUR-FU-10002501,63.2,5,0,23.384
9665,US-2015-120957,12/7/2015,12/7/2015,Same Day,KH-16690,OFF-PA-10003953,12.96,2,0,6.2208
1,Ca-New-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
2,Ca-New-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
3,Ca-New-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
14,Ca-New-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
22,Ca-New-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596
23,Ca-New-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884
25,Ca-New-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
26,Ca-New-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224
27,Ca-New-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
36,Ca-New-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
37,Ca-New-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963
38,Ca-New-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
39,Ca-New-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
40,Ca-New-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147
41,Ca-New-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
43,Ca-New-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0,3.894
45,Ca-New-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714
46,Ca-New-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062
48,Ca-New-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95
49,Ca-New-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0,6.104
50,Ca-New-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634
51,Ca-New-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346
52,Ca-New-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568
53,Ca-New-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981
54,Ca-New-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566
55,Ca-New-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
56,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-ST-10000604,208.56,6,0,52.14
57,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10001569,32.4,5,0,15.552
58,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
59,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888
60,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,TEC-AC-10002167,30,2,0,3.3
61,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362
62,Ca-New-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-AR-10001868,1.68,1,0,0.84
63,Ca-New-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512
64,Ca-New-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612
65,Ca-New-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
66,Ca-New-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225
70,Ca-New-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636
71,Ca-New-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213
75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196
80,Ca-New-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032
81,Ca-New-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352
84,Ca-New-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075
89,Ca-New-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572
90,Ca-New-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0,6.633
91,Ca-New-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782
